day,Retrievability (interleave),Blocked,Random,Round-robin
0,0.4000,0.2000,0.4000,0.4000
1,0.6240,0.2000,0.4736,0.6240
2,0.6812,0.2000,0.5298,0.6812
3,0.7073,0.2000,0.5774,0.7073
4,0.6607,0.2000,0.5822,0.6476
5,0.6638,0.2000,0.6308,0.6759
6,0.7408,0.2000,0.6520,0.7047
7,0.6421,0.2000,0.6624,0.7096
8,0.6973,0.2000,0.4998,0.7201
9,0.7073,0.2000,0.6308,0.6624
10,0.6882,0.3983,0.5875,0.6851
11,0.6638,0.3967,0.5648,0.7047
12,0.7639,0.3951,0.5233,0.7177
13,0.7031,0.3934,0.7897,0.7322
14,0.7499,0.3918,0.7213,0.6624
15,0.6567,0.3902,0.5760,0.7005
16,0.7129,0.3887,0.6159,0.7047
17,0.6273,0.3871,0.7328,0.7312
18,0.6895,0.3855,0.7167,0.7534
19,0.6086,0.3840,0.7376,0.6624
20,0.6746,0.5808,0.5760,0.7121
21,0.5968,0.5777,0.6155,0.7173
22,0.6652,0.5745,0.5862,0.7592
23,0.6421,0.5714,0.7432,0.7704
24,0.7204,0.5683,0.8099,0.6751
25,0.7073,0.5653,0.7310,0.7207
26,0.7073,0.5622,0.6908,0.7278
27,0.6638,0.5592,0.7914,0.7827
28,0.7794,0.5563,0.8350,0.7835
29,0.7290,0.5533,0.8383,0.6942
30,0.7823,0.7487,0.6713,0.7269
31,0.6930,0.7442,0.7253,0.7433
32,0.7508,0.7396,0.8891,0.8138
33,0.6654,0.7352,0.7936,0.7932
34,0.7267,0.7307,0.8019,0.7066
35,0.6444,0.7263,0.8321,0.7313
36,0.7083,0.7220,0.8425,0.7532
37,0.6283,0.7176,0.8729,0.8353
38,0.6943,0.7133,0.8173,0.8003
39,0.6421,0.7091,0.9236,0.7144
40,0.7359,0.9024,0.9230,0.7345
41,0.7073,0.8957,0.8735,0.7593
42,0.7197,0.8891,0.7087,0.8494
43,0.6638,0.8826,0.7733,0.8054
44,0.7893,0.8762,0.7665,0.7192
45,0.7468,0.8698,0.9419,0.7367
46,0.8063,0.8634,0.8153,0.7630
47,0.7217,0.8572,0.9204,0.8584
48,0.7831,0.8510,0.9035,0.8090
49,0.7003,0.8448,0.8826,0.7220
50,0.7633,0.8950,0.8648,0.7382
51,0.6820,0.8885,0.8498,0.7652
52,0.7557,0.8821,0.9127,0.8641
53,0.6664,0.8757,0.9778,0.8115
54,0.7413,0.8694,0.8433,0.7238
55,0.6421,0.8631,0.8138,0.7393
56,0.7632,0.8570,0.9798,0.7666
57,0.7322,0.8508,0.8407,0.8676
58,0.7275,0.8448,0.8169,0.8133
59,0.6812,0.8388,0.8003,0.7246
60,0.8203,0.8890,0.9773,0.7401
61,0.7583,0.8827,0.8928,0.7669
62,0.8399,0.8764,0.8448,0.8686
63,0.7419,0.8702,0.9892,0.8141
64,0.8314,0.8640,0.8906,0.7246
65,0.7270,0.8579,0.8387,0.7402
66,0.8172,0.8518,0.9776,0.7669
67,0.7134,0.8458,0.9180,0.8686
68,0.8105,0.8399,0.8714,0.8141
69,0.7011,0.8340,0.8478,0.7246
70,0.8041,0.8844,0.9933,0.7402
71,0.7213,0.8781,0.9232,0.7669
72,0.8311,0.8720,0.8756,0.8686
73,0.7647,0.8658,0.9884,0.8141
74,0.7837,0.8598,0.9233,0.7246
75,0.7228,0.8538,0.9934,0.7402
76,0.8058,0.8478,0.9200,0.7669
77,0.8048,0.8419,0.8707,0.8686
78,0.7941,0.8361,0.8494,0.8141
79,0.7981,0.8303,0.8255,0.7246
80,0.8014,0.9032,0.9901,0.7402
81,0.7916,0.8973,0.9885,0.7669
82,0.8171,0.8916,0.9405,0.8686
83,0.8112,0.8858,0.9917,0.8141
84,0.8319,0.8801,0.9917,0.7246
85,0.8665,0.8745,0.9901,0.7402
86,0.8350,0.8689,0.9671,0.7669
87,0.8717,0.8633,0.9406,0.8686
88,0.7838,0.8578,0.9200,0.8141
89,0.8307,0.8524,0.9051,0.7246
